Coherence,Congruence,Instability,Selectivity,Acumen,Verm_stability,Fidelity,Completness,Selectivity,methods,nb_layers,Data
0.38(0.14),0.33(0.07),0.48(0.13),0.59(0.08),0.02(0.01),0.77(0.03),0.71(0.09),0.01(0.01),0.59(0.08),lime,1,FD001
0.35(0.14),0.32(0.06),0.52(0.16),0.58(0.08),0.02(0.01),0.76(0.03),0.64(0.25),0.06(0.1),0.58(0.08),lime,2,FD001
0.0(0.0),0.0(0.0),0.52(0.1),0.42(0.03),0.3(0.07),0.68(0.08),0.94(0.0),1.0(0.0),0.42(0.03),lime,3,FD001
0.38(0.14),0.33(0.05),0.54(0.05),0.51(0.06),0.05(0.04),0.8(0.05),0.46(0.29),0.06(0.05),0.51(0.06),lime,4,FD001
0.38(0.14),0.33(0.07),0.48(0.06),0.88(0.02),0.46(0.02),1.0(0.0),0.84(0.04),0.01(0.02),0.88(0.02),shap,1,FD001
0.35(0.14),0.31(0.06),0.53(0.18),0.89(0.04),0.44(0.06),1.0(0.0),0.88(0.02),0.13(0.15),0.89(0.04),shap,2,FD001
0.0(0.0),0.0(0.0),0.5(0.15),0.67(0.13),0.61(0.05),1.0(0.0),1.0(0.0),1.0(0.0),0.67(0.13),shap,3,FD001
0.36(0.13),0.32(0.05),0.45(0.09),0.75(0.02),0.44(0.02),1.0(0.0),0.89(0.01),0.17(0.08),0.75(0.02),shap,4,FD001
0.49(0.18),0.38(0.06),0.48(0.05),0.58(0.03),0.04(0.02),1.0(0.0),0.83(0.05),0.14(0.24),0.58(0.03),l2x,1,FD001
0.45(0.17),0.36(0.05),0.41(0.12),0.6(0.03),0.04(0.02),1.0(0.0),0.87(0.02),0.18(0.15),0.6(0.03),l2x,2,FD001
0.0(0.0),0.0(0.0),0.52(0.09),0.45(0.1),0.04(0.02),1.0(0.0),1.0(0.0),1.0(0.0),0.45(0.1),l2x,3,FD001
0.42(0.15),0.36(0.05),0.46(0.13),0.6(0.04),0.05(0.01),1.0(0.0),0.88(0.01),0.29(0.3),0.6(0.04),l2x,4,FD001
